Superfamily,Group,Family,Subfamily,Protein,Members,UniProt,IDG_Dark,Aligned_Seq,Ortholog_Seq,weblogo_aln,barplot_ptm,weblogo_mut,barplot_mut,aligned_aln,aligned_full,aligned_kd,aligned_mut,aligned_ptm,ortholog_full,ortholog_kd
PK,AGC,DMPK,GEK,CDC42BPA (MRCKα),PKA;CDC42BPA,Q5VT25,1,113,113,PK_AGC_DMPK_GEK_CDC42BPA.png,PK_AGC_DMPK_GEK_CDC42BPA.png,PK_AGC_DMPK_GEK_CDC42BPA.png,PK_AGC_DMPK_GEK_CDC42BPA.png,PK_AGC_DMPK_GEK_CDC42BPA.aln,PK_AGC_DMPK_GEK_CDC42BPA.fasta,PK_AGC_DMPK_GEK_CDC42BPA.fasta,PK_AGC_DMPK_GEK_CDC42BPA.txt,PK_AGC_DMPK_GEK_CDC42BPA.txt,PK_AGC_DMPK_GEK_CDC42BPA.fasta,PK_AGC_DMPK_GEK_CDC42BPA.fasta
PK,AGC,DMPK,GEK,CDC42BPB (MRCKβ),PKA;CDC42BPB,Q9Y5S2,1,141,141,PK_AGC_DMPK_GEK_CDC42BPB.png,PK_AGC_DMPK_GEK_CDC42BPB.png,PK_AGC_DMPK_GEK_CDC42BPB.png,PK_AGC_DMPK_GEK_CDC42BPB.png,PK_AGC_DMPK_GEK_CDC42BPB.aln,PK_AGC_DMPK_GEK_CDC42BPB.fasta,PK_AGC_DMPK_GEK_CDC42BPB.fasta,PK_AGC_DMPK_GEK_CDC42BPB.txt,PK_AGC_DMPK_GEK_CDC42BPB.txt,PK_AGC_DMPK_GEK_CDC42BPB.fasta,PK_AGC_DMPK_GEK_CDC42BPB.fasta
PK,AGC,DMPK,GEK,CDC42BPG (DMPK2),PKA;CDC42BPG,Q6DT37,1,55,55,PK_AGC_DMPK_GEK_CDC42BPG.png,PK_AGC_DMPK_GEK_CDC42BPG.png,PK_AGC_DMPK_GEK_CDC42BPG.png,PK_AGC_DMPK_GEK_CDC42BPG.png,PK_AGC_DMPK_GEK_CDC42BPG.aln,PK_AGC_DMPK_GEK_CDC42BPG.fasta,PK_AGC_DMPK_GEK_CDC42BPG.fasta,PK_AGC_DMPK_GEK_CDC42BPG.txt,PK_AGC_DMPK_GEK_CDC42BPG.txt,PK_AGC_DMPK_GEK_CDC42BPG.fasta,PK_AGC_DMPK_GEK_CDC42BPG.fasta
PK,AGC,DMPK,GEK,DMPK,PKA;DMPK,Q09013,0,61,61,PK_AGC_DMPK_GEK_DMPK.png,PK_AGC_DMPK_GEK_DMPK.png,PK_AGC_DMPK_GEK_DMPK.png,PK_AGC_DMPK_GEK_DMPK.png,PK_AGC_DMPK_GEK_DMPK.aln,PK_AGC_DMPK_GEK_DMPK.fasta,PK_AGC_DMPK_GEK_DMPK.fasta,PK_AGC_DMPK_GEK_DMPK.txt,PK_AGC_DMPK_GEK_DMPK.txt,PK_AGC_DMPK_GEK_DMPK.fasta,PK_AGC_DMPK_GEK_DMPK.fasta
PK,AGC,DMPK,ROCK,,PKA;ROCK1;ROCK2,,,324,324,PK_AGC_DMPK_ROCK.png,PK_AGC_DMPK_ROCK.png,PK_AGC_DMPK_ROCK.png,PK_AGC_DMPK_ROCK.png,PK_AGC_DMPK_ROCK.aln,PK_AGC_DMPK_ROCK.fasta,PK_AGC_DMPK_ROCK.fasta,PK_AGC_DMPK_ROCK.txt,PK_AGC_DMPK_ROCK.txt,PK_AGC_DMPK_ROCK.fasta,PK_AGC_DMPK_ROCK.fasta
PK,AGC,DMPK,ROCK,ROCK1,PKA;ROCK1,Q13464,0,158,158,PK_AGC_DMPK_ROCK_ROCK1.png,PK_AGC_DMPK_ROCK_ROCK1.png,PK_AGC_DMPK_ROCK_ROCK1.png,PK_AGC_DMPK_ROCK_ROCK1.png,PK_AGC_DMPK_ROCK_ROCK1.aln,PK_AGC_DMPK_ROCK_ROCK1.fasta,PK_AGC_DMPK_ROCK_ROCK1.fasta,PK_AGC_DMPK_ROCK_ROCK1.txt,PK_AGC_DMPK_ROCK_ROCK1.txt,PK_AGC_DMPK_ROCK_ROCK1.fasta,PK_AGC_DMPK_ROCK_ROCK1.fasta
PK,AGC,DMPK,ROCK,ROCK2,PKA;ROCK2,O75116,0,166,166,PK_AGC_DMPK_ROCK_ROCK2.png,PK_AGC_DMPK_ROCK_ROCK2.png,PK_AGC_DMPK_ROCK_ROCK2.png,PK_AGC_DMPK_ROCK_ROCK2.png,PK_AGC_DMPK_ROCK_ROCK2.aln,PK_AGC_DMPK_ROCK_ROCK2.fasta,PK_AGC_DMPK_ROCK_ROCK2.fasta,PK_AGC_DMPK_ROCK_ROCK2.txt,PK_AGC_DMPK_ROCK_ROCK2.txt,PK_AGC_DMPK_ROCK_ROCK2.fasta,PK_AGC_DMPK_ROCK_ROCK2.fasta
PK,AGC,GRK,,,PKA;GRK1;GRK2;GRK3;GRK4;GRK5;GRK6;GRK7,,,771,771,PK_AGC_GRK.png,PK_AGC_GRK.png,PK_AGC_GRK.png,PK_AGC_GRK.png,PK_AGC_GRK.aln,PK_AGC_GRK.fasta,PK_AGC_GRK.fasta,PK_AGC_GRK.txt,PK_AGC_GRK.txt,PK_AGC_GRK.fasta,PK_AGC_GRK.fasta
PK,AGC,GRK,BARK,,PKA;GRK2;GRK3,,,322,322,PK_AGC_GRK_BARK.png,PK_AGC_GRK_BARK.png,PK_AGC_GRK_BARK.png,PK_AGC_GRK_BARK.png,PK_AGC_GRK_BARK.aln,PK_AGC_GRK_BARK.fasta,PK_AGC_GRK_BARK.fasta,PK_AGC_GRK_BARK.txt,PK_AGC_GRK_BARK.txt,PK_AGC_GRK_BARK.fasta,PK_AGC_GRK_BARK.fasta
PK,AGC,GRK,BARK,GRK2 (BARK1),PKA;GRK2,P25098,0,143,143,PK_AGC_GRK_BARK_GRK2.png,PK_AGC_GRK_BARK_GRK2.png,PK_AGC_GRK_BARK_GRK2.png,PK_AGC_GRK_BARK_GRK2.png,PK_AGC_GRK_BARK_GRK2.aln,PK_AGC_GRK_BARK_GRK2.fasta,PK_AGC_GRK_BARK_GRK2.fasta,PK_AGC_GRK_BARK_GRK2.txt,PK_AGC_GRK_BARK_GRK2.txt,PK_AGC_GRK_BARK_GRK2.fasta,PK_AGC_GRK_BARK_GRK2.fasta
PK,AGC,GRK,BARK,GRK3 (BARK2),PKA;GRK3,P35626,0,179,179,PK_AGC_GRK_BARK_GRK3.png,PK_AGC_GRK_BARK_GRK3.png,PK_AGC_GRK_BARK_GRK3.png,PK_AGC_GRK_BARK_GRK3.png,PK_AGC_GRK_BARK_GRK3.aln,PK_AGC_GRK_BARK_GRK3.fasta,PK_AGC_GRK_BARK_GRK3.fasta,PK_AGC_GRK_BARK_GRK3.txt,PK_AGC_GRK_BARK_GRK3.txt,PK_AGC_GRK_BARK_GRK3.fasta,PK_AGC_GRK_BARK_GRK3.fasta
PK,AGC,GRK,GRK,,PKA;GRK1;GRK4;GRK5;GRK6;GRK7,,,449,449,PK_AGC_GRK_GRK.png,PK_AGC_GRK_GRK.png,PK_AGC_GRK_GRK.png,PK_AGC_GRK_GRK.png,PK_AGC_GRK_GRK.aln,PK_AGC_GRK_GRK.fasta,PK_AGC_GRK_GRK.fasta,PK_AGC_GRK_GRK.txt,PK_AGC_GRK_GRK.txt,PK_AGC_GRK_GRK.fasta,PK_AGC_GRK_GRK.fasta
PK,AGC,GRK,GRK,GRK1 (RHOK),PKA;GRK1,Q15835,0,1,1,PK_AGC_GRK_GRK_GRK1.png,PK_AGC_GRK_GRK_GRK1.png,PK_AGC_GRK_GRK_GRK1.png,PK_AGC_GRK_GRK_GRK1.png,PK_AGC_GRK_GRK_GRK1.aln,PK_AGC_GRK_GRK_GRK1.fasta,PK_AGC_GRK_GRK_GRK1.fasta,PK_AGC_GRK_GRK_GRK1.txt,PK_AGC_GRK_GRK_GRK1.txt,PK_AGC_GRK_GRK_GRK1.fasta,PK_AGC_GRK_GRK_GRK1.fasta
PK,AGC,GRK,GRK,GRK4,PKA;GRK4,P32298,0,27,27,PK_AGC_GRK_GRK_GRK4.png,PK_AGC_GRK_GRK_GRK4.png,PK_AGC_GRK_GRK_GRK4.png,PK_AGC_GRK_GRK_GRK4.png,PK_AGC_GRK_GRK_GRK4.aln,PK_AGC_GRK_GRK_GRK4.fasta,PK_AGC_GRK_GRK_GRK4.fasta,PK_AGC_GRK_GRK_GRK4.txt,PK_AGC_GRK_GRK_GRK4.txt,PK_AGC_GRK_GRK_GRK4.fasta,PK_AGC_GRK_GRK_GRK4.fasta
PK,AGC,GRK,GRK,GRK5,PKA;GRK5,P34947,0,228,228,PK_AGC_GRK_GRK_GRK5.png,PK_AGC_GRK_GRK_GRK5.png,PK_AGC_GRK_GRK_GRK5.png,PK_AGC_GRK_GRK_GRK5.png,PK_AGC_GRK_GRK_GRK5.aln,PK_AGC_GRK_GRK_GRK5.fasta,PK_AGC_GRK_GRK_GRK5.fasta,PK_AGC_GRK_GRK_GRK5.txt,PK_AGC_GRK_GRK_GRK5.txt,PK_AGC_GRK_GRK_GRK5.fasta,PK_AGC_GRK_GRK_GRK5.fasta
PK,AGC,GRK,GRK,GRK6,PKA;GRK6,P43250,0,93,93,PK_AGC_GRK_GRK_GRK6.png,PK_AGC_GRK_GRK_GRK6.png,PK_AGC_GRK_GRK_GRK6.png,PK_AGC_GRK_GRK_GRK6.png,PK_AGC_GRK_GRK_GRK6.aln,PK_AGC_GRK_GRK_GRK6.fasta,PK_AGC_GRK_GRK_GRK6.fasta,PK_AGC_GRK_GRK_GRK6.txt,PK_AGC_GRK_GRK_GRK6.txt,PK_AGC_GRK_GRK_GRK6.fasta,PK_AGC_GRK_GRK_GRK6.fasta
PK,AGC,GRK,GRK,GRK7,PKA;GRK7,Q8WTQ7,0,100,100,PK_AGC_GRK_GRK_GRK7.png,PK_AGC_GRK_GRK_GRK7.png,PK_AGC_GRK_GRK_GRK7.png,PK_AGC_GRK_GRK_GRK7.png,PK_AGC_GRK_GRK_GRK7.aln,PK_AGC_GRK_GRK_GRK7.fasta,PK_AGC_GRK_GRK_GRK7.fasta,PK_AGC_GRK_GRK_GRK7.txt,PK_AGC_GRK_GRK_GRK7.txt,PK_AGC_GRK_GRK_GRK7.fasta,PK_AGC_GRK_GRK_GRK7.fasta
PK,AGC,MAST,,,PKA;MAST1;MAST2;MAST3;MAST4;MASTL,,,646,646,PK_AGC_MAST.png,PK_AGC_MAST.png,PK_AGC_MAST.png,PK_AGC_MAST.png,PK_AGC_MAST.aln,PK_AGC_MAST.fasta,PK_AGC_MAST.fasta,PK_AGC_MAST.txt,PK_AGC_MAST.txt,PK_AGC_MAST.fasta,PK_AGC_MAST.fasta
PK,AGC,MAST,MAST,,PKA;MAST1;MAST2;MAST3;MAST4,,,406,406,PK_AGC_MAST_MAST.png,PK_AGC_MAST_MAST.png,PK_AGC_MAST_MAST.png,PK_AGC_MAST_MAST.png,PK_AGC_MAST_MAST.aln,PK_AGC_MAST_MAST.fasta,PK_AGC_MAST_MAST.fasta,PK_AGC_MAST_MAST.txt,PK_AGC_MAST_MAST.txt,PK_AGC_MAST_MAST.fasta,PK_AGC_MAST_MAST.fasta
PK,AGC,MAST,MAST,MAST1,PKA;MAST1,Q9Y2H9,0,27,27,PK_AGC_MAST_MAST_MAST1.png,PK_AGC_MAST_MAST_MAST1.png,PK_AGC_MAST_MAST_MAST1.png,PK_AGC_MAST_MAST_MAST1.png,PK_AGC_MAST_MAST_MAST1.aln,PK_AGC_MAST_MAST_MAST1.fasta,PK_AGC_MAST_MAST_MAST1.fasta,PK_AGC_MAST_MAST_MAST1.txt,PK_AGC_MAST_MAST_MAST1.txt,PK_AGC_MAST_MAST_MAST1.fasta,PK_AGC_MAST_MAST_MAST1.fasta
PK,AGC,MAST,MAST,MAST2,PKA;MAST2,Q6P0Q8,1,162,162,PK_AGC_MAST_MAST_MAST2.png,PK_AGC_MAST_MAST_MAST2.png,PK_AGC_MAST_MAST_MAST2.png,PK_AGC_MAST_MAST_MAST2.png,PK_AGC_MAST_MAST_MAST2.aln,PK_AGC_MAST_MAST_MAST2.fasta,PK_AGC_MAST_MAST_MAST2.fasta,PK_AGC_MAST_MAST_MAST2.txt,PK_AGC_MAST_MAST_MAST2.txt,PK_AGC_MAST_MAST_MAST2.fasta,PK_AGC_MAST_MAST_MAST2.fasta
PK,AGC,MAST,MAST,MAST3,PKA;MAST3,O60307,1,121,121,PK_AGC_MAST_MAST_MAST3.png,PK_AGC_MAST_MAST_MAST3.png,PK_AGC_MAST_MAST_MAST3.png,PK_AGC_MAST_MAST_MAST3.png,PK_AGC_MAST_MAST_MAST3.aln,PK_AGC_MAST_MAST_MAST3.fasta,PK_AGC_MAST_MAST_MAST3.fasta,PK_AGC_MAST_MAST_MAST3.txt,PK_AGC_MAST_MAST_MAST3.txt,PK_AGC_MAST_MAST_MAST3.fasta,PK_AGC_MAST_MAST_MAST3.fasta
PK,AGC,MAST,MAST,MAST4,PKA;MAST4,O15021,1,96,96,PK_AGC_MAST_MAST_MAST4.png,PK_AGC_MAST_MAST_MAST4.png,PK_AGC_MAST_MAST_MAST4.png,PK_AGC_MAST_MAST_MAST4.png,PK_AGC_MAST_MAST_MAST4.aln,PK_AGC_MAST_MAST_MAST4.fasta,PK_AGC_MAST_MAST_MAST4.fasta,PK_AGC_MAST_MAST_MAST4.txt,PK_AGC_MAST_MAST_MAST4.txt,PK_AGC_MAST_MAST_MAST4.fasta,PK_AGC_MAST_MAST_MAST4.fasta
PK,AGC,MAST,MASTL,,PKA;MASTL,,,240,240,PK_AGC_MAST_MASTL.png,PK_AGC_MAST_MASTL.png,PK_AGC_MAST_MASTL.png,PK_AGC_MAST_MASTL.png,PK_AGC_MAST_MASTL.aln,PK_AGC_MAST_MASTL.fasta,PK_AGC_MAST_MASTL.fasta,PK_AGC_MAST_MASTL.txt,PK_AGC_MAST_MASTL.txt,PK_AGC_MAST_MASTL.fasta,PK_AGC_MAST_MASTL.fasta
PK,AGC,MAST,MASTL,MASTL,PKA;MASTL,Q96GX5,0,240,240,PK_AGC_MAST_MASTL_MASTL.png,PK_AGC_MAST_MASTL_MASTL.png,PK_AGC_MAST_MASTL_MASTL.png,PK_AGC_MAST_MASTL_MASTL.png,PK_AGC_MAST_MASTL_MASTL.aln,PK_AGC_MAST_MASTL_MASTL.fasta,PK_AGC_MAST_MASTL_MASTL.fasta,PK_AGC_MAST_MASTL_MASTL.txt,PK_AGC_MAST_MASTL_MASTL.txt,PK_AGC_MAST_MASTL_MASTL.fasta,PK_AGC_MAST_MASTL_MASTL.fasta
PK,AGC,NDR,,,PKA;LATS1;LATS2;STK38;STK38L,,,1208,1208,PK_AGC_NDR.png,PK_AGC_NDR.png,PK_AGC_NDR.png,PK_AGC_NDR.png,PK_AGC_NDR.aln,PK_AGC_NDR.fasta,PK_AGC_NDR.fasta,PK_AGC_NDR.txt,PK_AGC_NDR.txt,PK_AGC_NDR.fasta,PK_AGC_NDR.fasta
PK,AGC,NDR,LATS,,PKA;LATS1;LATS2,,,395,395,PK_AGC_NDR_LATS.png,PK_AGC_NDR_LATS.png,PK_AGC_NDR_LATS.png,PK_AGC_NDR_LATS.png,PK_AGC_NDR_LATS.aln,PK_AGC_NDR_LATS.fasta,PK_AGC_NDR_LATS.fasta,PK_AGC_NDR_LATS.txt,PK_AGC_NDR_LATS.txt,PK_AGC_NDR_LATS.fasta,PK_AGC_NDR_LATS.fasta
PK,AGC,NDR,LATS,LATS1,PKA;LATS1,O95835,0,263,263,PK_AGC_NDR_LATS_LATS1.png,PK_AGC_NDR_LATS_LATS1.png,PK_AGC_NDR_LATS_LATS1.png,PK_AGC_NDR_LATS_LATS1.png,PK_AGC_NDR_LATS_LATS1.aln,PK_AGC_NDR_LATS_LATS1.fasta,PK_AGC_NDR_LATS_LATS1.fasta,PK_AGC_NDR_LATS_LATS1.txt,PK_AGC_NDR_LATS_LATS1.txt,PK_AGC_NDR_LATS_LATS1.fasta,PK_AGC_NDR_LATS_LATS1.fasta
PK,AGC,NDR,LATS,LATS2,PKA;LATS2,Q9NRM7,0,132,132,PK_AGC_NDR_LATS_LATS2.png,PK_AGC_NDR_LATS_LATS2.png,PK_AGC_NDR_LATS_LATS2.png,PK_AGC_NDR_LATS_LATS2.png,PK_AGC_NDR_LATS_LATS2.aln,PK_AGC_NDR_LATS_LATS2.fasta,PK_AGC_NDR_LATS_LATS2.fasta,PK_AGC_NDR_LATS_LATS2.txt,PK_AGC_NDR_LATS_LATS2.txt,PK_AGC_NDR_LATS_LATS2.fasta,PK_AGC_NDR_LATS_LATS2.fasta
